Fecha,Temporada,Cultivo,Parcela,Fase Productiva,Cantidad (kg),Precio por kg,Ingresos generados,Costo Total,Rentabilidad,Clima,Demanda de Mercado,Proyección Precio Temporada Siguiente,Observaciones,Línea Productiva
2023-12-19,2023-Invierno,Soya,Parcela D,Mantenimiento,0,0,0,219,-219,Soleado,Media,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Oleaginosas
2023-07-15,2023-Invierno,Trigo,Parcela D,Siembra,0,0,0,275,-275,Soleado,Baja,0.95,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-01-01,2023-Verano,Maíz,Parcela E,Mantenimiento,0,0,0,197,-197,Soleado,Alta,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-07-19,2023-Invierno,Trigo,Parcela B,Cosecha,895,0.8,716.0,237,479.0,Nublado,Media,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Grano
2023-10-21,2023-Invierno,Plátano,Parcela E,Siembra,0,0,0,185,-185,Nublado,Media,0.75,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-09-14,2023-Invierno,Maíz,Parcela E,Cosecha,581,0.97,563.57,292,271.57,Lluvioso,Media,0.85,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-11-08,2023-Invierno,Café,Parcela C,Mantenimiento,0,0,0,405,-405,Lluvioso,Alta,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-05-30,2023-Verano,Soya,Parcela A,Cosecha,444,1.19,528.36,198,330.36,Lluvioso,Alta,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela A.",Oleaginosas
2023-02-07,2023-Verano,Trigo,Parcela E,Siembra,0,0,0,395,-395,Nublado,Alta,0.95,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-07-02,2023-Invierno,Plátano,Parcela D,Mantenimiento,0,0,0,356,-356,Lluvioso,Media,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Tropicales
2023-03-21,2023-Verano,Plátano,Parcela B,Mantenimiento,0,0,0,150,-150,Soleado,Baja,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-08-20,2023-Invierno,Café,Parcela C,Mantenimiento,0,0,0,370,-370,Soleado,Media,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-04-06,2023-Verano,Maíz,Parcela D,Cosecha,523,0.93,486.39,310,176.39,Soleado,Media,0.85,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-06-14,2023-Verano,Café,Parcela B,Mantenimiento,0,0,0,480,-480,Soleado,Alta,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-12-28,2023-Invierno,Maíz,Parcela A,Cosecha,875,0.71,621.25,259,362.25,Nublado,Alta,0.85,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela A.",Grano
2023-05-06,2023-Verano,Café,Parcela E,Cosecha,340,4.98,1693.2,185,1508.2,Lluvioso,Baja,5.1,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-10-23,2023-Invierno,Plátano,Parcela B,Siembra,0,0,0,400,-400,Soleado,Media,0.75,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-05-13,2023-Verano,Trigo,Parcela E,Mantenimiento,0,0,0,276,-276,Soleado,Media,0.95,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-02-26,2023-Verano,Café,Parcela D,Mantenimiento,0,0,0,452,-452,Lluvioso,Baja,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Tropicales
2023-09-19,2023-Invierno,Plátano,Parcela B,Siembra,0,0,0,169,-169,Lluvioso,Media,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela B.",Tropicales
2023-10-20,2023-Invierno,Trigo,Parcela C,Siembra,0,0,0,323,-323,Nublado,Media,0.95,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-10-03,2023-Invierno,Plátano,Parcela D,Mantenimiento,0,0,0,321,-321,Soleado,Media,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
2023-01-15,2023-Verano,Soya,Parcela B,Siembra,0,0,0,381,-381,Soleado,Baja,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
2023-08-16,2023-Invierno,Maíz,Parcela B,Siembra,0,0,0,271,-271,Lluvioso,Media,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-10-28,2023-Invierno,Café,Parcela B,Siembra,0,0,0,449,-449,Nublado,Alta,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-09-15,2023-Invierno,Soya,Parcela A,Cosecha,872,1.36,1185.92,218,967.92,Lluvioso,Alta,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela A.",Oleaginosas
2023-04-22,2023-Verano,Plátano,Parcela B,Cosecha,489,0.81,396.09,163,233.09,Nublado,Alta,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-10-07,2023-Invierno,Maíz,Parcela A,Mantenimiento,0,0,0,242,-242,Lluvioso,Media,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Grano
2023-01-26,2023-Verano,Café,Parcela E,Mantenimiento,0,0,0,189,-189,Soleado,Alta,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-12-04,2023-Invierno,Soya,Parcela D,Siembra,0,0,0,232,-232,Soleado,Alta,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Oleaginosas
2023-01-20,2023-Verano,Trigo,Parcela E,Cosecha,570,1.1,627.0,265,362.0,Soleado,Media,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-05-20,2023-Verano,Plátano,Parcela C,Siembra,0,0,0,320,-320,Lluvioso,Baja,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-11-16,2023-Invierno,Maíz,Parcela C,Siembra,0,0,0,397,-397,Soleado,Alta,0.85,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela C.",Grano
2023-12-03,2023-Invierno,Soya,Parcela C,Siembra,0,0,0,215,-215,Lluvioso,Baja,1.2,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Oleaginosas
2023-05-02,2023-Verano,Café,Parcela A,Mantenimiento,0,0,0,234,-234,Lluvioso,Baja,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-03-02,2023-Verano,Soya,Parcela B,Cosecha,897,1.2,1076.4,225,851.4,Lluvioso,Media,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela B.",Oleaginosas
2023-02-02,2023-Verano,Soya,Parcela B,Siembra,0,0,0,449,-449,Soleado,Media,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
2023-01-30,2023-Verano,Plátano,Parcela E,Siembra,0,0,0,402,-402,Lluvioso,Baja,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-09-11,2023-Invierno,Maíz,Parcela E,Mantenimiento,0,0,0,388,-388,Soleado,Media,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-07-15,2023-Invierno,Trigo,Parcela D,Mantenimiento,0,0,0,320,-320,Nublado,Alta,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-12-14,2023-Invierno,Soya,Parcela B,Siembra,0,0,0,190,-190,Soleado,Alta,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
2023-02-25,2023-Verano,Soya,Parcela A,Mantenimiento,0,0,0,162,-162,Soleado,Alta,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela A.",Oleaginosas
2023-12-22,2023-Invierno,Maíz,Parcela C,Mantenimiento,0,0,0,240,-240,Lluvioso,Media,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-11-26,2023-Invierno,Trigo,Parcela C,Cosecha,484,1.0,484.0,252,232.0,Lluvioso,Alta,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-03-14,2023-Verano,Maíz,Parcela E,Cosecha,894,0.69,616.86,152,464.86,Soleado,Media,0.85,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-05-04,2023-Verano,Trigo,Parcela B,Mantenimiento,0,0,0,496,-496,Nublado,Media,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela B.",Grano
2023-01-28,2023-Verano,Maíz,Parcela B,Cosecha,631,0.99,624.69,263,361.69,Soleado,Alta,0.85,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela B.",Grano
2023-09-12,2023-Invierno,Plátano,Parcela E,Cosecha,723,0.85,614.55,481,133.55,Nublado,Alta,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-05-03,2023-Verano,Café,Parcela D,Mantenimiento,0,0,0,437,-437,Soleado,Baja,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
2023-02-26,2023-Verano,Soya,Parcela C,Mantenimiento,0,0,0,453,-453,Soleado,Media,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Oleaginosas
2023-05-20,2023-Verano,Café,Parcela E,Siembra,0,0,0,381,-381,Nublado,Baja,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-02-24,2023-Verano,Trigo,Parcela C,Cosecha,779,0.98,763.42,318,445.42,Lluvioso,Alta,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-04-23,2023-Verano,Maíz,Parcela C,Cosecha,700,0.88,616.0,306,310.0,Nublado,Baja,0.85,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-11-04,2023-Invierno,Soya,Parcela C,Cosecha,367,1.32,484.44,485,-0.56,Lluvioso,Baja,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela C.",Oleaginosas
2023-01-07,2023-Verano,Plátano,Parcela A,Siembra,0,0,0,269,-269,Soleado,Media,0.75,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-10-30,2023-Invierno,Soya,Parcela B,Mantenimiento,0,0,0,367,-367,Soleado,Baja,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
2023-06-14,2023-Verano,Soya,Parcela B,Cosecha,974,1.21,1178.54,232,946.54,Nublado,Alta,1.2,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Oleaginosas
2023-02-28,2023-Verano,Café,Parcela A,Siembra,0,0,0,337,-337,Soleado,Baja,5.1,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-05-23,2023-Verano,Plátano,Parcela B,Mantenimiento,0,0,0,398,-398,Soleado,Media,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-01-14,2023-Verano,Trigo,Parcela B,Cosecha,500,0.76,380.0,243,137.0,Nublado,Alta,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Grano
2023-05-26,2023-Verano,Soya,Parcela A,Cosecha,459,1.01,463.59,345,118.59,Soleado,Alta,1.2,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela A.",Oleaginosas
2023-11-18,2023-Invierno,Plátano,Parcela C,Mantenimiento,0,0,0,213,-213,Lluvioso,Baja,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-11-29,2023-Invierno,Café,Parcela D,Cosecha,427,5.23,2233.21,284,1949.21,Nublado,Baja,5.1,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela D.",Tropicales
2023-08-19,2023-Invierno,Plátano,Parcela A,Cosecha,896,0.57,510.72,436,74.72,Nublado,Alta,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela A.",Tropicales
2023-11-23,2023-Invierno,Trigo,Parcela C,Cosecha,234,1.14,266.76,238,28.76,Lluvioso,Baja,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-07-06,2023-Invierno,Plátano,Parcela D,Siembra,0,0,0,328,-328,Nublado,Alta,0.75,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela D.",Tropicales
2023-03-01,2023-Verano,Plátano,Parcela B,Mantenimiento,0,0,0,168,-168,Soleado,Media,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-12-24,2023-Invierno,Café,Parcela A,Mantenimiento,0,0,0,178,-178,Nublado,Media,5.1,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela A.",Tropicales
2023-12-15,2023-Invierno,Trigo,Parcela D,Mantenimiento,0,0,0,297,-297,Nublado,Baja,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-05-24,2023-Verano,Plátano,Parcela C,Cosecha,294,0.67,196.98,478,-281.02,Nublado,Media,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela C.",Tropicales
2023-04-09,2023-Verano,Maíz,Parcela C,Siembra,0,0,0,490,-490,Soleado,Media,0.85,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela C.",Grano
2023-10-06,2023-Invierno,Soya,Parcela A,Mantenimiento,0,0,0,389,-389,Lluvioso,Baja,1.2,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Oleaginosas
2023-02-18,2023-Verano,Café,Parcela B,Cosecha,457,4.98,2275.86,225,2050.86,Lluvioso,Baja,5.1,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela B.",Tropicales
2023-08-26,2023-Invierno,Trigo,Parcela C,Mantenimiento,0,0,0,211,-211,Nublado,Media,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-06-02,2023-Verano,Plátano,Parcela C,Mantenimiento,0,0,0,358,-358,Soleado,Alta,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-09-23,2023-Invierno,Plátano,Parcela E,Siembra,0,0,0,456,-456,Soleado,Baja,0.75,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-02-16,2023-Verano,Maíz,Parcela E,Siembra,0,0,0,445,-445,Soleado,Media,0.85,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-07-13,2023-Invierno,Maíz,Parcela E,Siembra,0,0,0,194,-194,Nublado,Baja,0.85,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-03-20,2023-Verano,Café,Parcela E,Siembra,0,0,0,429,-429,Nublado,Media,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-09-03,2023-Invierno,Café,Parcela B,Siembra,0,0,0,350,-350,Nublado,Baja,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-06-16,2023-Verano,Soya,Parcela E,Mantenimiento,0,0,0,427,-427,Nublado,Alta,1.2,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela E.",Oleaginosas
2023-10-10,2023-Invierno,Plátano,Parcela C,Cosecha,796,0.67,533.32,489,44.32,Soleado,Media,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-06-23,2023-Verano,Trigo,Parcela E,Mantenimiento,0,0,0,422,-422,Soleado,Baja,0.95,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-09-09,2023-Invierno,Soya,Parcela D,Mantenimiento,0,0,0,302,-302,Nublado,Alta,1.2,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela D.",Oleaginosas
2023-08-23,2023-Invierno,Plátano,Parcela C,Siembra,0,0,0,279,-279,Lluvioso,Baja,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-10-20,2023-Invierno,Plátano,Parcela D,Cosecha,827,0.83,686.41,209,477.41,Nublado,Media,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela D.",Tropicales
2023-12-07,2023-Invierno,Maíz,Parcela A,Siembra,0,0,0,185,-185,Lluvioso,Media,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Grano
2023-09-18,2023-Invierno,Plátano,Parcela E,Cosecha,647,0.74,478.78,383,95.78,Nublado,Alta,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-09-04,2023-Invierno,Trigo,Parcela E,Cosecha,687,0.78,535.86,336,199.86,Nublado,Alta,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-05-07,2023-Verano,Maíz,Parcela C,Siembra,0,0,0,391,-391,Nublado,Media,0.85,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-06-12,2023-Verano,Trigo,Parcela B,Mantenimiento,0,0,0,428,-428,Lluvioso,Baja,0.95,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-02-06,2023-Verano,Maíz,Parcela D,Siembra,0,0,0,396,-396,Soleado,Baja,0.85,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-04-17,2023-Verano,Café,Parcela A,Siembra,0,0,0,411,-411,Lluvioso,Baja,5.1,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-11-05,2023-Invierno,Plátano,Parcela C,Cosecha,776,0.6,465.6,171,294.6,Soleado,Alta,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-11-26,2023-Invierno,Plátano,Parcela B,Siembra,0,0,0,176,-176,Lluvioso,Media,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela B.",Tropicales
2023-08-03,2023-Invierno,Trigo,Parcela B,Cosecha,400,0.8,320.0,160,160.0,Nublado,Baja,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Grano
2023-11-28,2023-Invierno,Plátano,Parcela B,Mantenimiento,0,0,0,152,-152,Lluvioso,Media,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela B.",Tropicales
2023-02-07,2023-Verano,Soya,Parcela C,Cosecha,776,1.31,1016.56,359,657.56,Soleado,Media,1.2,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Oleaginosas
2023-04-27,2023-Verano,Café,Parcela C,Siembra,0,0,0,351,-351,Soleado,Baja,5.1,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-04-09,2023-Verano,Soya,Parcela D,Mantenimiento,0,0,0,359,-359,Soleado,Alta,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Oleaginosas
2023-08-02,2023-Invierno,Café,Parcela E,Cosecha,350,5.04,1764.0,426,1338.0,Soleado,Media,5.1,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-11-02,2023-Invierno,Maíz,Parcela D,Cosecha,656,1.02,669.12,492,177.12,Lluvioso,Baja,0.85,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela D.",Grano
2023-04-25,2023-Verano,Maíz,Parcela E,Mantenimiento,0,0,0,462,-462,Lluvioso,Media,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-01-18,2023-Verano,Soya,Parcela E,Mantenimiento,0,0,0,379,-379,Soleado,Media,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Oleaginosas
2023-10-26,2023-Invierno,Plátano,Parcela E,Cosecha,433,0.63,272.79,196,76.79,Soleado,Baja,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-08-14,2023-Invierno,Café,Parcela D,Siembra,0,0,0,209,-209,Soleado,Alta,5.1,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
2023-02-04,2023-Verano,Maíz,Parcela C,Cosecha,205,0.68,139.4,265,-125.6,Nublado,Alta,0.85,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-12-08,2023-Invierno,Maíz,Parcela C,Mantenimiento,0,0,0,364,-364,Lluvioso,Media,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-02-28,2023-Verano,Café,Parcela A,Mantenimiento,0,0,0,402,-402,Soleado,Alta,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-12-06,2023-Invierno,Café,Parcela A,Cosecha,380,5.11,1941.8,383,1558.8,Lluvioso,Media,5.1,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-11-08,2023-Invierno,Plátano,Parcela A,Mantenimiento,0,0,0,249,-249,Lluvioso,Alta,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-06-13,2023-Verano,Trigo,Parcela D,Siembra,0,0,0,288,-288,Lluvioso,Alta,0.95,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela D.",Grano
2023-10-11,2023-Invierno,Maíz,Parcela D,Siembra,0,0,0,331,-331,Nublado,Baja,0.85,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-01-02,2023-Verano,Soya,Parcela E,Siembra,0,0,0,232,-232,Soleado,Media,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela E.",Oleaginosas
2023-05-12,2023-Verano,Soya,Parcela D,Mantenimiento,0,0,0,359,-359,Lluvioso,Baja,1.2,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Oleaginosas
2023-08-01,2023-Invierno,Plátano,Parcela A,Cosecha,619,0.74,458.06,222,236.06,Soleado,Alta,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-05-05,2023-Verano,Maíz,Parcela D,Cosecha,748,0.7,523.6,299,224.6,Nublado,Media,0.85,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-05-05,2023-Verano,Maíz,Parcela C,Cosecha,774,0.96,743.04,241,502.04,Nublado,Alta,0.85,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-10-27,2023-Invierno,Café,Parcela E,Cosecha,982,5.07,4978.74,200,4778.74,Lluvioso,Media,5.1,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-12-18,2023-Invierno,Soya,Parcela B,Cosecha,756,1.39,1050.84,230,820.84,Soleado,Baja,1.2,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
